customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_000028,Female,0,Yes,No,1,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),41.91,40.97,Yes
CUST_000029,Female,1,No,No,4,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),119.0,425.08,Yes
CUST_000030,Female,0,Yes,No,68,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),151.1,9680.36,No
CUST_000031,Male,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.67,527.65,No
CUST_000032,Male,0,No,No,39,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,161.76,5843.98,No
CUST_000033,Female,0,No,No,13,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,159.54,1799.67,Yes
CUST_000034,Female,0,Yes,No,22,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,132.63,2527.82,No
CUST_000035,Female,0,No,No,1,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,38.24,39.47,Yes
CUST_000036,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,48.14,323.31,Yes
CUST_000037,Female,0,Yes,Yes,12,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),135.78,1512.09,No
CUST_000038,Male,0,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),133.19,3053.73,Yes
CUST_000039,Male,0,No,No,4,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),133.28,488.38,No
CUST_000040,Male,0,Yes,No,29,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),131.4,3634.65,Yes
CUST_000041,Male,0,Yes,No,10,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,91.43,905.41,No
CUST_000042,Male,0,No,No,35,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),115.07,3553.26,Yes
CUST_000043,Female,0,No,No,3,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,33.77,95.02,Yes
CUST_000044,Female,0,No,No,23,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,132.82,3147.83,No
CUST_000045,Female,1,No,No,7,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),127.96,764.62,Yes
CUST_000046,Female,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,48.37,1540.16,Yes
CUST_000047,Female,0,No,No,11,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),38.8,447.21,No
CUST_000048,Male,0,No,No,22,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,111.6,2306.63,No
CUST_000049,Female,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),35.51,2170.49,No
CUST_000050,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),110.77,103.37,Yes
CUST_000051,Male,0,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),115.11,129.34,No
CUST_000052,Female,0,Yes,Yes,30,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,163.93,5409.55,No
CUST_000053,Male,0,No,No,21,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),133.96,2588.22,Yes
CUST_000054,Female,0,No,No,7,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,119.12,724.52,Yes
CUST_000055,Male,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,159.96,1924.76,No
CUST_000056,Female,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.32,97.8,Yes
CUST_000057,Female,0,Yes,No,5,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,165.86,844.72,No
CUST_000058,Male,0,No,Yes,12,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,125.25,1357.63,Yes
CUST_000059,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,138.73,4490.99,Yes
CUST_000060,Male,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,100.53,1355.83,Yes
CUST_000061,Male,0,Yes,No,18,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),124.81,1967.98,No
CUST_000062,Male,0,No,No,42,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),125.97,5594.3,No
CUST_000063,Male,0,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),39.09,354.86,Yes
CUST_000064,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,169.32,4123.86,No
CUST_000065,Male,0,Yes,No,40,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,113.43,5040.1,No
CUST_000066,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,138.15,654.92,Yes
CUST_000067,Female,0,No,No,9,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,199.38,1658.15,No
CUST_000068,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,115.5,7902.71,No
CUST_000069,Female,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),157.88,10374.43,No
CUST_000070,Female,1,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,132.66,733.06,Yes
CUST_000071,Female,0,No,No,2,No,No phone service,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,114.5,242.02,No
CUST_000072,Female,0,No,No,7,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,116.21,902.49,No
CUST_000073,Male,1,Yes,No,11,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),151.08,1602.57,Yes
CUST_000074,Female,1,Yes,Yes,12,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),134.59,1659.31,Yes
CUST_000075,Male,1,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),41.18,739.52,No
CUST_000076,Female,0,No,No,46,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),122.01,6044.38,Yes
CUST_000077,Female,0,No,Yes,9,Yes,No phone service,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),141.69,1117.9,No
CUST_000078,Female,0,No,Yes,38,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,150.65,5172.59,Yes
CUST_000079,Male,0,Yes,Yes,2,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),112.94,220.29,Yes
CUST_000080,Female,0,No,No,1,Yes,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),152.67,135.16,No
CUST_000081,Male,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),161.91,2717.28,No
CUST_000082,Female,0,No,No,2,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),128.54,256.5,No
CUST_000083,Male,0,Yes,Yes,10,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.16,366.38,Yes
CUST_000084,Female,1,No,No,46,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,128.84,5284.48,No
CUST_000085,Male,0,No,No,6,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,126.61,684.36,No
CUST_000086,Male,0,Yes,Yes,25,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.73,1248.93,Yes
CUST_000087,Female,0,Yes,No,8,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,118.36,1055.24,No
CUST_000088,Male,0,No,No,1,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),108.32,113.01,No
CUST_000089,Female,0,No,No,17,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),145.55,2368.16,No
CUST_000090,Female,0,Yes,No,37,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,107.04,3676.46,No
CUST_000091,Female,1,No,Yes,11,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),140.78,1542.61,Yes
CUST_000092,Female,0,No,No,20,Yes,No phone service,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),131.61,2475.29,Yes
CUST_000093,Female,0,Yes,Yes,47,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),139.72,6558.08,No
CUST_000094,Female,0,Yes,Yes,32,Yes,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),168.84,4610.63,Yes
CUST_000095,Female,0,No,No,5,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,129.88,723.91,No
CUST_000096,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),51.11,1416.56,No
CUST_000097,Female,0,No,Yes,14,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,41.38,577.56,No
CUST_000098,Female,0,No,Yes,28,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,155.14,4317.98,No
CUST_000099,Female,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,39.91,603.16,Yes
CUST_000100,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),168.39,512.24,No
CUST_000101,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),183.11,3244.61,No
CUST_000102,Female,0,Yes,No,14,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),129.61,1976.27,Yes
CUST_000103,Female,0,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.95,696.35,Yes
CUST_000104,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),36.9,1611.55,No
CUST_000105,Female,0,Yes,Yes,46,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,85.33,4024.36,No
CUST_000106,Female,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,151.12,2073.39,No
CUST_000107,Female,0,No,Yes,13,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),172.82,2227.98,Yes
CUST_000108,Female,0,No,No,15,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),141.97,2387.13,No
CUST_000109,Female,1,No,No,15,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),122.89,1867.49,No
CUST_000110,Male,1,No,No,61,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,142.47,9796.76,No
CUST_000111,Female,0,No,Yes,21,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),110.78,2538.23,No
CUST_000112,Male,0,No,No,7,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),127.09,853.15,No
CUST_000113,Female,0,Yes,No,16,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,155.17,2604.8,Yes
CUST_000114,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),128.93,2746.4,Yes
CUST_000115,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.46,862.22,Yes
CUST_000116,Female,0,No,No,18,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),144.82,2768.22,Yes
CUST_000117,Male,0,No,No,4,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),84.11,310.29,No
CUST_000118,Female,1,No,No,1,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),120.73,113.09,No
CUST_000119,Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),47.47,445.65,Yes
CUST_000120,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),144.53,1725.42,Yes
CUST_000121,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),188.11,363.06,Yes
CUST_000122,Male,0,Yes,No,34,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),145.37,4300.01,No
CUST_000123,Female,0,No,No,9,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,169.8,1750.08,Yes
CUST_000124,Male,1,No,No,49,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,122.89,5530.07,No
CUST_000125,Male,0,No,No,4,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,136.96,567.97,Yes
CUST_000126,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.77,82.16,Yes
CUST_000127,Female,0,No,No,14,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),154.15,2163.28,Yes
CUST_000128,Male,1,No,No,5,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,152.66,781.42,Yes
CUST_000129,Female,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,52.71,2979.55,No
CUST_000130,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,118.67,123.53,No
CUST_000131,Female,0,No,No,11,Yes,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),116.71,1251.59,Yes
CUST_000132,Male,0,No,No,53,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,27.21,1379.88,No
CUST_000133,Male,0,Yes,No,10,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),176.3,2019.61,No
CUST_000134,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,33.38,64.23,No
CUST_000135,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,35.35,278.25,No
CUST_000136,Male,0,No,No,14,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Mailed check,122.26,1538.11,No
CUST_000137,Male,1,Yes,Yes,5,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),135.09,741.75,Yes
CUST_000138,Male,0,No,Yes,13,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,173.8,2444.89,No
CUST_000139,Male,0,No,No,37,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),103.22,4084.86,No
CUST_000140,Male,0,Yes,No,42,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),144.87,6757.62,Yes
CUST_000141,Female,0,No,Yes,2,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),130.66,223.58,No
CUST_000142,Male,1,No,No,4,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),102.49,350.68,Yes
CUST_000143,Female,0,Yes,No,7,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,148.33,1186.92,Yes
CUST_000144,Female,0,No,Yes,19,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),133.11,2295.44,Yes
CUST_000145,Female,0,Yes,No,9,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),133.96,1345.72,Yes
CUST_000146,Male,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.86,1813.96,Yes
CUST_000147,Male,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),149.5,3910.15,Yes
CUST_000148,Male,0,No,No,3,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),31.59,81.78,Yes
CUST_000149,Male,0,No,No,20,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,121.79,2220.64,Yes
CUST_000150,Female,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,169.89,443.38,Yes
CUST_000151,Male,0,No,No,6,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,115.25,749.26,Yes
CUST_000152,Male,0,No,Yes,4,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.1,180.59,Yes
CUST_000153,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,148.89,682.47,No
CUST_000154,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),37.03,748.75,No
CUST_000155,Male,0,Yes,Yes,17,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),37.38,561.67,No
CUST_000156,Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,156.0,549.21,Yes
CUST_000157,Male,0,Yes,Yes,72,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),164.79,11950.11,Yes
CUST_000158,Female,0,No,No,11,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,166.92,1882.39,Yes
CUST_000159,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,156.45,420.78,Yes
CUST_000160,Female,1,No,No,3,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),134.51,361.56,No
CUST_000161,Male,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.63,862.91,No
CUST_000162,Male,0,Yes,No,72,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.29,3359.61,Yes
CUST_000163,Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),50.59,733.63,Yes
CUST_000164,Female,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,178.48,11500.76,No
CUST_000165,Female,0,No,No,12,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,126.13,1525.85,No
CUST_000166,Male,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),141.17,1767.85,Yes
CUST_000167,Female,0,Yes,No,14,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),72.62,876.27,No
CUST_000168,Male,0,Yes,No,24,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),53.28,1254.72,No
CUST_000169,Male,0,No,No,10,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.92,455.52,Yes
CUST_000170,Female,0,Yes,No,40,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),149.33,5306.82,No
CUST_000171,Female,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),160.64,181.34,Yes
CUST_000172,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,121.03,1239.66,No
